Risk_Category,Risk_Level,Trigger_Phrase,Example_Clause
Intellectual Property,Risky,ownership,Ownership of all process improvements and innovations developed during service delivery shall vest in Supplier.
Intellectual Property,Acceptable,license,Supplier grants Customer a non-exclusive license to use any work product developed specifically for Customer under this Agreement.
Intellectual Property,Acceptable,joint ownership,Jointly developed innovations shall be owned equally by both parties with neither party requiring consent for use.
Intellectual Property,Preferred,Customer ownership,"All custom work product, process improvements, and innovations funded by Customer shall be owned exclusively by Customer upon payment."
Exclusivity,Risky,exclusive supplier,Customer agrees that Supplier shall be the exclusive supplier of services for all Customer facilities during the term.
Exclusivity,Risky,sole source,Customer designates Supplier as sole source provider and agrees not to engage alternative suppliers.
Exclusivity,Risky,exclusivity period,During the exclusivity period Customer shall direct one hundred percent of volume to Supplier.
Exclusivity,Acceptable,preferred supplier,Supplier shall be designated as preferred supplier with Customer retaining the right to dual-source for business continuity purposes.
Exclusivity,Acceptable,minimum volume,Customer commits to a minimum annual volume with no exclusivity obligation and full rights to engage additional suppliers.
Exclusivity,Preferred,no exclusivity,Nothing in this Agreement shall restrict Customer from engaging additional suppliers at its sole discretion at any time.
Governing Law,Risky,binding arbitration,All disputes shall be resolved through binding arbitration and Customer expressly waives the right to jury trial.
Governing Law,Risky,governed by laws of,This Agreement shall be governed by the laws of the State of Ohio with exclusive jurisdiction in Franklin County courts.
Governing Law,Risky,venue,The exclusive venue for all disputes shall be the courts of Supplier home state jurisdiction.
Governing Law,Acceptable,jurisdiction,Disputes shall be resolved in the jurisdiction where the Customer facility involved in the dispute is located.
Governing Law,Acceptable,mediation,Parties agree to attempt mediation prior to initiating formal legal proceedings in any dispute.
Governing Law,Preferred,mutual agreement,Governing law and dispute resolution venue shall be mutually agreed upon with neither party having home jurisdiction advantage.
