Risk_Category,Risk_Level,Trigger_Phrase,Example_Clause,Clause_Group,Term_Type,Risk_Explanation
Delivery & Lead Time,Acceptable,guaranteed delivery,Supplier guarantees delivery within agreed lead times for all catalog items with expedite options available at no premium.,MRO Specific,,
Delivery & Lead Time,Preferred,guaranteed delivery,Supplier guarantees delivery within agreed lead times with financial penalties for late delivery exceeding twenty-four hours on critical production items.,MRO Specific,,
Warranty,Risky,as is,All products are sold as-is with no warranty expressed or implied by Supplier.,MRO Specific,,
Warranty,Risky,no warranty,Supplier disclaims all warranties including fitness for purpose and merchantability for all MRO products supplied.,MRO Specific,,
Warranty,Risky,warranty void,Warranty is void if products are used outside Supplier recommended parameters regardless of Customer application requirements.,MRO Specific,,
Warranty,Acceptable,standard warranty,Supplier provides standard manufacturer warranty on all products with defective items replaced within thirty days of notification.,MRO Specific,,
Warranty,Acceptable,warranty coverage,All products carry a minimum twelve month warranty against defects in materials and workmanship from date of delivery.,MRO Specific,,
Warranty,Preferred,extended warranty,Supplier provides a minimum twenty-four month warranty on all products with immediate replacement of defective items and no cost to Customer for return shipping.,MRO Specific,,
Inventory & Availability,Risky,no stocking commitment,Supplier makes no commitment to maintain local inventory and all orders are subject to manufacturer availability.,MRO Specific,,
Inventory & Availability,Risky,discontinued items,Supplier may discontinue any product at any time with no obligation to provide advance notice or alternative sourcing.,MRO Specific,,
Inventory & Availability,Risky,allocation,During supply constraints Customer orders may be subject to allocation at Supplier sole discretion.,MRO Specific,,
Inventory & Availability,Acceptable,safety stock,Supplier commits to maintaining safety stock of Customer top fifty items with a minimum thirty day supply at all times.,MRO Specific,,
Inventory & Availability,Acceptable,stocking agreement,Supplier shall maintain agreed inventory levels for Customer critical items and provide sixty days advance notice of any product discontinuations.,MRO Specific,,
Inventory & Availability,Preferred,dedicated inventory,Supplier shall maintain dedicated on-site or near-site inventory for Customer critical MRO items with guaranteed availability and next day delivery commitment.,MRO Specific,,
Pricing & Catalog,Risky,list price,All products shall be billed at Supplier current list price at time of order with no price protection guarantee.,MRO Specific,,
Pricing & Catalog,Risky,price changes,Supplier may change catalog pricing at any time with no advance notice requirement to Customer.,MRO Specific,,
Pricing & Catalog,Risky,surcharges,"Supplier reserves the right to add fuel surcharges, handling fees, and other charges at its discretion.",MRO Specific,,
Pricing & Catalog,Acceptable,price protection,Agreed pricing shall be protected for twelve months with a maximum three percent annual adjustment thereafter.,MRO Specific,,
Pricing & Catalog,Acceptable,catalog pricing,Customer shall receive agreed discount off published list price with price protection for the contract term and sixty days notice of any list price changes.,MRO Specific,,
Pricing & Catalog,Preferred,fixed pricing,"All agreed pricing shall remain fixed for the contract term with no surcharges, handling fees, or fuel charges. Any new products added shall be priced at the same discount tier as existing catalog.",MRO Specific,,
Parties & Legal Entities,Risky,as represented by,This Agreement is entered into by and between Buyer and Supplier as represented by their authorized representatives only.,Basic Contract Setup,Legal,"Missing parent company, LLC entity names, or authorized signatory — contract may not bind the correct legal entity."
Parties & Legal Entities,Preferred,including all subsidiaries,"This Agreement is entered into between Buyer Corporation and Supplier LLC, including all subsidiaries and affiliated entities operating under the same ultimate parent.",Basic Contract Setup,Legal,Clear identification of all contracting entities including subsidiaries.
Definitions,Risky,as defined herein,Capitalized terms used in this Agreement shall have the meanings assigned to them herein without further definition in applicable sections.,Basic Contract Setup,Legal,"Vague definitions allow supplier to reinterpret key terms — especially dangerous for 'Specifications', 'Defect', and 'Delivery'."
Definitions,Preferred,shall mean,'Product' shall mean the items listed in Exhibit A as amended from time to time by mutual written agreement. 'Defect' shall mean any nonconformance with the Specifications.,Basic Contract Setup,Legal,Clear definitions reduce ambiguity and dispute risk.
Term & Renewal,Risky,automatically renew,This Agreement shall automatically renew for successive one-year periods unless written notice is provided ninety days prior to expiration.,Basic Contract Setup,Commercial,Auto-renewal with 90-day notice window creates trapped spend — favors supplier.
Term & Renewal,Preferred,initial term,This Agreement has an initial term of three years commencing on the Effective Date. Either party may elect not to renew by providing 30 days written notice prior to expiration.,Basic Contract Setup,Commercial,Defined term with short notice period preserves buyer flexibility.
Scope of Supply,Risky,as mutually agreed,The scope of products to be supplied shall be as mutually agreed between the parties from time to time.,Basic Contract Setup,Commercial,Undefined scope gives supplier leverage to add products or change terms without formal amendment.
Scope of Supply,Preferred,set forth in exhibit,The Products to be supplied are set forth in Exhibit A attached hereto and incorporated by reference. Changes to scope require written amendment signed by both parties.,Basic Contract Setup,Commercial,Defined scope in exhibit protects buyer from unauthorized changes.
Product Specifications,Risky,generally accepted,Supplier shall provide Products meeting generally accepted industry standards for quality and performance.,Products & Delivery,Commercial,'Generally accepted' is unenforceable — no specific standard to hold supplier to.
Product Specifications,Preferred,attached specifications,Products shall conform to the Specifications attached as Exhibit B. Supplier shall not deviate from the Specifications without prior written approval from Buyer.,Products & Delivery,Commercial,Specific attached specifications with change control protection.
Forecasting & Ordering,Risky,best efforts forecast,Buyer shall provide Supplier with best efforts volume forecasts on a quarterly basis for planning purposes only.,Products & Delivery,Commercial,'Planning purposes only' forecasts give supplier no obligation to hold capacity — creates supply risk.
Forecasting & Ordering,Preferred,binding rolling forecast,Buyer shall provide a rolling 12-month forecast updated monthly. The first three months shall be binding purchase commitments. Supplier shall maintain capacity to fulfill 120% of the binding forecast.,Products & Delivery,Commercial,Binding near-term forecast with capacity buffer protects supply continuity.
Pricing,Risky,subject to change,Pricing is subject to change with thirty days notice based on raw material cost fluctuations and market conditions.,Products & Delivery,Commercial,Unilateral pricing change right with only 30-day notice exposes buyer to cost volatility.
Pricing,Preferred,fixed for term,Prices are fixed for the initial contract term. Any price adjustments require written agreement and shall not exceed the published CPI index for the relevant period.,Products & Delivery,Commercial,Price stability with CPI-indexed cap protects buyer budget.
Delivery Terms,Risky,ex works,All deliveries shall be made Ex Works (EXW) Supplier's facility. Risk of loss and title transfer at Supplier's loading dock.,Products & Delivery,Commercial,EXW puts freight risk and cost entirely on buyer — unfavorable for regulated goods.
Delivery Terms,Preferred,DDP,"Supplier shall deliver Products DDP (Delivered Duty Paid) to Buyer's designated facility. Supplier bears all freight, insurance, and customs costs and risk of loss until receipt at Buyer's dock.",Products & Delivery,Commercial,DDP maximizes buyer protection — all delivery risk stays with supplier.
Title & Risk of Loss,Risky,fob origin,Title and risk of loss pass to Buyer FOB Origin at Supplier's shipping dock.,Products & Delivery,Commercial,FOB Origin means buyer assumes risk during transit — especially problematic for regulated goods.
Title & Risk of Loss,Preferred,fob destination,Title and risk of loss shall pass to Buyer upon delivery to and acceptance at Buyer's designated facility (FOB Destination).,Products & Delivery,Commercial,FOB Destination keeps risk with supplier until confirmed receipt and acceptance.
Packaging & Labeling,Risky,standard packaging,Supplier shall package Products in standard commercial packaging suitable for shipping.,Products & Delivery,Commercial,'Standard commercial' packaging may not meet regulatory or cleanroom requirements for medical devices.
Packaging & Labeling,Preferred,regulatory packaging requirements,"Supplier shall package and label Products in compliance with all applicable regulatory requirements including FDA, ISO 11607, and any Buyer-specific requirements set forth in the Specifications.",Products & Delivery,Commercial,Explicit regulatory packaging compliance requirement.
Invoicing,Risky,invoice upon shipment,Supplier shall invoice Buyer upon shipment. Payment is due within the terms stated regardless of receipt or acceptance status.,Payment & Financial,Commercial,Payment triggered by shipment not acceptance — buyer may pay for goods not yet received or accepted.
Invoicing,Preferred,invoice upon acceptance,Supplier shall invoice Buyer upon Buyer's written acceptance of the Products. Payment terms commence from the date of accepted invoice.,Payment & Financial,Commercial,Payment clock starts only after acceptance — protects buyer cash flow and quality leverage.
Taxes & Duties,Risky,plus applicable taxes,"All prices are exclusive of taxes. Buyer shall pay all applicable taxes, duties, levies, and customs charges in addition to the stated price.",Payment & Financial,Commercial,Broad tax pass-through with no cap — buyer exposed to unknown customs and import duty costs.
Taxes & Duties,Preferred,taxes included,Prices stated are inclusive of all applicable taxes except for taxes based on Buyer's net income. Supplier is responsible for all export duties and origin-country taxes.,Payment & Financial,Commercial,Clear tax allocation — supplier bears origin-country costs.
Currency,Risky,subject to exchange rate adjustment,Prices are stated in USD and subject to exchange rate adjustment if currency fluctuations exceed 5% from the contract date rate.,Payment & Financial,Commercial,Currency adjustment clause exposes buyer to FX risk on international supply.
Currency,Preferred,fixed USD,All prices and payments under this Agreement shall be in United States Dollars. Exchange rate fluctuations shall not affect the stated contract price.,Payment & Financial,Commercial,Fixed USD pricing eliminates FX exposure for buyer.
Quality Standards,Risky,commercially reasonable quality,Supplier shall provide Products of commercially reasonable quality consistent with industry norms.,Quality & Performance,Commercial,'Commercially reasonable' is subjective and unenforceable in regulated manufacturing environments.
Quality Standards,Preferred,ISO certified quality system,Supplier shall maintain a quality management system certified to ISO 13485 and shall provide Products meeting the Specifications and all applicable regulatory requirements.,Quality & Performance,Commercial,Specific quality system certification requirement with regulatory alignment.
Inspection & Acceptance,Risky,deemed accepted,Products not rejected within five business days of delivery shall be deemed accepted by Buyer.,Quality & Performance,Commercial,Short deemed acceptance window — buyer may be stuck with defective goods if inspection takes longer.
Inspection & Acceptance,Preferred,right to inspect,Buyer shall have 30 days following receipt to inspect Products. Payment of an invoice shall not constitute acceptance. Buyer may reject nonconforming Products at any time within the warranty period.,Quality & Performance,Commercial,Extended inspection window with right to reject throughout warranty period.
Warranties,Risky,no warranty,SUPPLIER MAKES NO WARRANTIES EXPRESS OR IMPLIED INCLUDING ANY IMPLIED WARRANTY OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE.,Quality & Performance,Legal,Complete warranty disclaimer — buyer has no recourse for defective products.
Warranties,Preferred,express warranty,"Supplier warrants that Products will conform to Specifications, be free from defects in materials and workmanship, and comply with all applicable laws for a period of 24 months from delivery.",Quality & Performance,Legal,Strong express warranty with defined term and scope.
Remedies & Cure,Risky,sole remedy replacement,Buyer's sole and exclusive remedy for nonconforming Products shall be replacement of the defective Products at Supplier's option.,Quality & Performance,Commercial,"Limiting buyer to replacement only — no right to refund, cover, or consequential damages."
Remedies & Cure,Preferred,repair replace refund,"If Products fail to conform to Specifications, Buyer may at its option require Supplier to repair, replace, or provide a full refund. Supplier shall also reimburse Buyer for reasonable cover costs if Supplier cannot supply conforming goods within 30 days.",Quality & Performance,Commercial,Buyer retains choice of remedy including refund and cover reimbursement.
Compliance with Laws,Risky,to the extent required,Supplier shall comply with applicable laws to the extent required by applicable regulations.,Compliance & Responsibility,Legal,'To the extent required' is self-limiting — supplier can argue partial compliance.
Compliance with Laws,Preferred,all applicable laws,"Supplier shall comply with all applicable federal, state, local, and international laws, regulations, and standards in the performance of this Agreement including but not limited to FDA, EPA, OSHA, and applicable import/export laws.",Compliance & Responsibility,Legal,Comprehensive compliance obligation with specific regulatory bodies named.
Regulatory Requirements,Risky,as applicable,Supplier shall comply with regulatory requirements as applicable to the Products.,Compliance & Responsibility,Legal,Vague regulatory obligation — supplier can argue specific requirements don't apply.
Regulatory Requirements,Preferred,21 CFR regulatory compliance,"Supplier shall comply with all applicable FDA regulations including 21 CFR Parts 820 and 211, ISO 11135/11137, and shall maintain all required registrations and licenses. Supplier shall notify Buyer within 24 hours of any regulatory action, inspection, or citation.",Compliance & Responsibility,Legal,Specific regulatory standards cited with immediate notification requirement.
Ethics & Code of Conduct,Risky,best efforts,Supplier shall use best efforts to conduct business in an ethical manner consistent with general business norms.,Compliance & Responsibility,Legal,'Best efforts' and 'general norms' are unenforceable — no specific standards.
Ethics & Code of Conduct,Preferred,code of conduct compliance,"Supplier shall comply with Buyer's Supplier Code of Conduct as updated from time to time, prohibiting forced labor, child labor, bribery, corruption, and environmental violations. Supplier shall cascade these requirements to all sub-tier suppliers.",Compliance & Responsibility,Legal,Specific code compliance with sub-tier cascade requirement.
Insurance,Risky,adequate insurance,Supplier shall maintain adequate insurance coverage as required by applicable law.,Compliance & Responsibility,Legal,'Adequate' is undefined — supplier may carry insufficient coverage for regulated manufacturing exposure.
Insurance,Preferred,minimum insurance requirements,Supplier shall maintain at minimum: (i) Commercial General Liability of $5M per occurrence; (ii) Product Liability of $10M per occurrence; (iii) Workers Compensation as required by law; (iv) Professional Liability of $2M. Buyer shall be named as additional insured on all policies.,Compliance & Responsibility,Legal,Specific coverage minimums with buyer named as additional insured.
Product Recall,Risky,at buyer's expense,"In the event of a product recall, costs of the recall shall be shared equally between Buyer and Supplier regardless of the cause.",Liability & Risk,Legal,50/50 cost sharing even when recall is supplier's fault — unfair to buyer.
Product Recall,Preferred,supplier-funded recall,"If a recall is required due to Supplier's failure to meet Specifications or comply with applicable law, Supplier shall bear all recall costs including logistics, customer notification, and replacement. Supplier shall cooperate fully with regulatory agencies and Buyer in all recall activities.",Liability & Risk,Legal,Supplier bears full cost when recall is caused by supplier failure.
Confidentiality,Risky,reasonable efforts,Each party shall use reasonable efforts to maintain the confidentiality of the other party's confidential information.,Confidentiality & Data,Legal,'Reasonable efforts' is a weak standard — should be 'same degree of care as own confidential information'.
Confidentiality,Preferred,same degree of care,"Each party shall protect Confidential Information using the same degree of care it uses to protect its own confidential information, but no less than reasonable care. Confidential Information shall not be disclosed for five years following termination.",Confidentiality & Data,Legal,Strong confidentiality standard with post-termination survival clause.
Data Protection & Privacy,Risky,industry standard security,Supplier shall protect personal data using industry standard security measures.,Confidentiality & Data,Legal,"'Industry standard' is undefined and may not meet GDPR, HIPAA, or CCPA requirements."
Data Protection & Privacy,Preferred,GDPR HIPAA compliance,Supplier shall process personal data only as instructed by Buyer and in compliance with applicable data protection laws including GDPR and HIPAA. Supplier shall implement appropriate technical and organizational measures and notify Buyer within 24 hours of any data breach.,Confidentiality & Data,Legal,Specific regulatory compliance with 24-hour breach notification.
Termination for Convenience,Risky,no termination for convenience,Neither party may terminate this Agreement for convenience during the initial term. Termination prior to expiration requires mutual written agreement.,Termination & Exit,Legal,No exit right during term — buyer is locked in even if supplier performance deteriorates.
Termination for Convenience,Preferred,termination for convenience,Buyer may terminate this Agreement for convenience upon 90 days written notice to Supplier. Supplier shall fulfill all open purchase orders accepted prior to notice of termination.,Termination & Exit,Legal,Buyer exit right with reasonable notice period — maintains optionality.
Termination for Cause,Risky,30 days to cure,Either party may terminate for cause upon 30 days written notice if the other party has materially breached this Agreement and failed to cure within said 30-day period.,Termination & Exit,Legal,30-day cure period may be too long for quality or supply failures in regulated manufacturing.
Termination for Cause,Preferred,immediate termination rights,Buyer may terminate immediately upon written notice if Supplier: (i) fails to meet quality Specifications on three or more occasions in any 12-month period; (ii) is subject to FDA enforcement action; (iii) becomes insolvent; or (iv) materially breaches this Agreement and fails to cure within 15 days of written notice.,Termination & Exit,Legal,"Immediate termination triggers for quality, regulatory, and financial failures."
Effect of Termination,Risky,no further obligation,"Upon termination, all obligations of the parties shall cease and neither party shall have any further liability to the other.",Termination & Exit,Legal,"Blanket release on termination — eliminates warranty, indemnity, and data return obligations."
Effect of Termination,Preferred,survival of obligations,"Upon termination: (i) Supplier shall fulfill all open accepted orders; (ii) all payment obligations survive; (iii) confidentiality, IP, indemnification, and warranty obligations survive for their stated terms; (iv) Supplier shall return or destroy all Buyer confidential information within 30 days.",Termination & Exit,Legal,Comprehensive survival clause protecting buyer's post-termination interests.
Dispute Resolution,Risky,courts of supplier's jurisdiction,Any disputes arising under this Agreement shall be resolved in the courts of the jurisdiction where Supplier is incorporated.,General Boilerplate,Legal,Supplier's home jurisdiction gives supplier advantage in litigation — unfavorable for buyer.
Dispute Resolution,Preferred,binding arbitration,Any dispute arising under this Agreement shall first be subject to good-faith negotiation for 30 days. Unresolved disputes shall be submitted to binding arbitration under AAA Commercial Rules in a mutually agreed neutral jurisdiction.,General Boilerplate,Legal,Neutral arbitration avoids home-court advantage for either party.
Assignment,Risky,freely assignable,Supplier may assign this Agreement or any of its rights and obligations hereunder without Buyer's prior written consent.,General Boilerplate,Legal,Supplier can assign contract to unknown third party — Buyer may end up with a different supplier.
Assignment,Preferred,consent required,"Neither party may assign this Agreement without prior written consent of the other party, which shall not be unreasonably withheld. Any assignment without consent is void.",General Boilerplate,Legal,Mutual consent requirement prevents unwanted supplier substitution.
Subcontracting,Risky,may subcontract,Supplier may subcontract any portion of its obligations under this Agreement to qualified third parties at Supplier's discretion.,General Boilerplate,Legal,Unlimited subcontracting right — supplier can outsource critical work without buyer knowledge.
Subcontracting,Preferred,approved subcontractors only,"Supplier shall not subcontract any manufacturing, sterilization, or quality functions without Buyer's prior written approval. Supplier remains fully liable for subcontractor performance. Supplier shall flow down all quality and compliance requirements to approved subcontractors.",General Boilerplate,Legal,Approval requirement with liability retention and flow-down obligations.
Amendments & Modifications,Risky,may be amended,This Agreement may be amended by Supplier upon 30 days written notice to Buyer.,General Boilerplate,Legal,Unilateral amendment right — Supplier can change terms without Buyer agreement.
Amendments & Modifications,Preferred,mutual written agreement,This Agreement may only be amended by a written instrument signed by authorized representatives of both parties. No oral modifications shall be binding.,General Boilerplate,Legal,Mutual consent requirement prevents unilateral changes.
Notices,Risky,email sufficient,Notices may be provided by email to the last known email address of the receiving party.,General Boilerplate,Legal,Email-only notice is insufficient for formal legal notices — delivery cannot be confirmed.
Notices,Preferred,written notice with confirmation,All formal notices shall be in writing and delivered by: (i) certified mail return receipt requested; (ii) overnight courier with confirmation; or (iii) email with read receipt to the addresses stated in the Agreement header.,General Boilerplate,Legal,Multiple notice methods with confirmation — ensures delivery can be proven.
Entire Agreement,Risky,purchase orders govern,"In the event of conflict between this Agreement and any purchase order, the terms of the purchase order shall govern.",General Boilerplate,Legal,PO governs over master agreement — supplier can override negotiated terms with simple PO terms.
Entire Agreement,Preferred,master agreement governs,"This Agreement constitutes the entire agreement between the parties and supersedes all prior negotiations. In the event of conflict between this Agreement and any purchase order, this Agreement shall govern unless the purchase order specifically references and amends this Agreement.",General Boilerplate,Legal,Master agreement prevails — protects negotiated terms from PO override.
