Risk_Category,Risk_Level,Trigger_Phrase,Example_Clause
Intellectual Property,Risky,ownership,Ownership of all process improvements and innovations developed during service delivery shall vest in Supplier.
Intellectual Property,Acceptable,license,Supplier grants Customer a non-exclusive license to use any work product developed specifically for Customer under this Agreement.
Intellectual Property,Acceptable,joint ownership,Jointly developed innovations shall be owned equally by both parties with neither party requiring consent for use.
Intellectual Property,Preferred,Customer ownership,"All custom work product, process improvements, and innovations funded by Customer shall be owned exclusively by Customer upon payment."
Exclusivity,Risky,exclusive supplier,Customer agrees that Supplier shall be the exclusive supplier of services for all Customer facilities during the term.
Exclusivity,Risky,sole source,Customer designates Supplier as sole source provider and agrees not to engage alternative suppliers.
Exclusivity,Risky,exclusivity period,During the exclusivity period Customer shall direct one hundred percent of volume to Supplier.
Exclusivity,Acceptable,preferred supplier,Supplier shall be designated as preferred supplier with Customer retaining the right to dual-source for business continuity purposes.
Exclusivity,Acceptable,minimum volume,Customer commits to a minimum annual volume with no exclusivity obligation and full rights to engage additional suppliers.
Exclusivity,Preferred,no exclusivity,Nothing in this Agreement shall restrict Customer from engaging additional suppliers at its sole discretion at any time.
Governing Law,Risky,binding arbitration,All disputes shall be resolved through binding arbitration and Customer expressly waives the right to jury trial.
Governing Law,Risky,governed by laws of,This Agreement shall be governed by the laws of the State of Ohio with exclusive jurisdiction in Franklin County courts.
Governing Law,Risky,venue,The exclusive venue for all disputes shall be the courts of Supplier home state jurisdiction.
Governing Law,Acceptable,jurisdiction,Disputes shall be resolved in the jurisdiction where the Customer facility involved in the dispute is located.
Governing Law,Acceptable,mediation,Parties agree to attempt mediation prior to initiating formal legal proceedings in any dispute.
Governing Law,Preferred,mutual agreement,Governing law and dispute resolution venue shall be mutually agreed upon with neither party having home jurisdiction advantage.
Confidentiality,Risky,no confidentiality,Neither party shall have any obligation to maintain confidentiality of information shared during the course of this Agreement.
Confidentiality,Risky,limited confidentiality,Confidentiality obligations shall apply only to information marked as confidential in writing at the time of disclosure.
Confidentiality,Risky,confidentiality period,Confidentiality obligations shall survive termination for a period of one year only.
Confidentiality,Acceptable,confidential information,Both parties shall maintain strict confidentiality of all proprietary information shared under this Agreement for five years post-termination.
Confidentiality,Acceptable,non-disclosure,All confidential information shall be protected with the same degree of care as each party uses for its own proprietary information but no less than reasonable care.
Confidentiality,Preferred,perpetual confidentiality,Confidentiality obligations shall survive termination indefinitely for trade secrets and for seven years for all other confidential information with no exceptions for independently developed information.
Scope of Services,Risky,at Supplier discretion,Supplier may modify the scope of services at its discretion with thirty days written notice to Customer.
Scope of Services,Risky,best efforts,Supplier shall use best efforts to provide agreed services but makes no guarantee regarding service levels or outcomes.
Scope of Services,Risky,subject to change,Service specifications are subject to change based on Supplier operational requirements and Customer shall have no right of approval.
Scope of Services,Acceptable,defined scope,Any changes to the defined scope of services require mutual written agreement with thirty days advance notice.
Scope of Services,Acceptable,change order,Scope changes shall be documented through a formal change order process with Customer written approval required prior to implementation.
Scope of Services,Preferred,Customer approval,"No changes to agreed service scope, specifications, or delivery methods shall be implemented without prior written Customer approval and agreed pricing for any additional costs."
Service Levels,Risky,no SLA,Supplier makes no commitment to specific service levels or performance metrics under this Agreement.
Service Levels,Risky,best efforts,Service levels are targets only and Supplier shall not be liable for failure to meet performance metrics.
Service Levels,Risky,SLA credits,Service level credits shall be the sole remedy for performance failures and shall not exceed five percent of monthly fees.
Service Levels,Acceptable,service levels,Supplier commits to agreed service levels with monthly reporting and service credits for failures exceeding agreed thresholds.
Service Levels,Acceptable,performance metrics,Agreed KPIs shall be measured monthly with quarterly business reviews and escalation procedures for recurring failures.
Service Levels,Preferred,guaranteed SLA,"Supplier guarantees agreed service levels with financial penalties for failures, root cause analysis within 48 hours of any incident, and Customer right to terminate for repeated SLA failures exceeding three consecutive months."
Data Protection,Risky,no data protection,Supplier assumes no responsibility for protection of Customer data processed under this Agreement.
Data Protection,Risky,best efforts,Supplier shall use commercially reasonable efforts to protect Customer data but makes no guarantee against data breaches.
Data Protection,Risky,limited liability,Supplier liability for data breaches shall be limited to direct costs only with no obligation to notify affected parties.
Data Protection,Acceptable,data security,Supplier shall maintain industry standard data security controls and notify Customer of any breach within seventy-two hours of discovery.
Data Protection,Acceptable,data protection,All Customer data shall be processed in accordance with applicable data protection laws with annual security audits available to Customer upon request.
Data Protection,Preferred,data security guarantee,"Supplier shall maintain SOC 2 Type II certification, notify Customer of any breach within twenty-four hours, provide full breach remediation at Supplier cost, and allow Customer security audits at any time with reasonable notice."
